ICD-10-CM CODE,ICD-10-CM CODE DESCRIPTION,Default CCSR CATEGORY IP,Default CCSR CATEGORY DESCRIPTION IP,Default CCSR CATEGORY OP,Default CCSR CATEGORY DESCRIPTION OP,CCSR CATEGORY 1,CCSR CATEGORY 1 DESCRIPTION,CCSR CATEGORY 2,CCSR CATEGORY 2 DESCRIPTION,CCSR CATEGORY 3,CCSR CATEGORY 3 DESCRIPTION,CCSR CATEGORY 4,CCSR CATEGORY 4 DESCRIPTION,CCSR CATEGORY 5,CCSR CATEGORY 5 DESCRIPTION,CCSR CATEGORY 6,CCSR CATEGORY 6 DESCRIPTION
'T5193XA',Toxic effect of unspecified alcohol   assault   initial encounter,'INJ023',Toxic effects   initial encounter,'INJ023',Toxic effects   initial encounter,'EXT015',External cause codes: poisoning by non-drug,'EXT022',External cause codes: intent of injury   assault,'INJ023',"Toxic effects, initial encounter",' ', ,' ', ,' ', 
'T5193XD',Toxic effect of unspecified alcohol   assault   subsequent encounter,'INJ060',Toxic effects   subsequent encounter,'INJ060',Toxic effects   subsequent encounter,'INJ060',Toxic effects   subsequent encounter,' ', ,' ', ,' ', ,' ', ,' ', 
'T5193XS',Toxic effect of unspecified alcohol   assault   sequela,'INJ075',Poisoning/toxic effect/adverse effects/underdosing   sequela,'INJ075',Poisoning/toxic effect/adverse effects/underdosing   sequela,'INJ075',Poisoning/toxic effect/adverse effects/underdosing   sequela,' ', ,' ', ,' ', ,' ', ,' ', 
'T5194XA',Toxic effect of unspecified alcohol   undetermined   initial encounter,'INJ023',Toxic effects   initial encounter,'INJ023',Toxic effects   initial encounter,'EXT015',External cause codes: poisoning by non-drug,'EXT023',External cause codes: intent of injury   undetermined,'INJ023',"Toxic effects, initial encounter",' ', ,' ', ,' ', 
'T5194XD',Toxic effect of unspecified alcohol   undetermined   subsequent encounter,'INJ060',Toxic effects   subsequent encounter,'INJ060',Toxic effects   subsequent encounter,'INJ060',Toxic effects   subsequent encounter,' ', ,' ', ,' ', ,' ', ,' ', 
'T5194XS',Toxic effect of unspecified alcohol   undetermined   sequela,'INJ075',Poisoning/toxic effect/adverse effects/underdosing   sequela,'INJ075',Poisoning/toxic effect/adverse effects/underdosing   sequela,'INJ075',Poisoning/toxic effect/adverse effects/underdosing   sequela,' ', ,' ', ,' ', ,' ', ,' ', 
'Y900',Blood alcohol level of less than 20 mg/100 ml,'XXX000',Unacceptable PDX,'XXX111',Unacceptable DX1,'EXT028',External cause codes: evidence of alcohol involvement,' ', ,' ', ,' ', ,' ', ,' ', 
'Y901',Blood alcohol level of 20-39 mg/100 ml,'XXX000',Unacceptable PDX,'XXX111',Unacceptable DX1,'EXT028',External cause codes: evidence of alcohol involvement,' ', ,' ', ,' ', ,' ', ,' ', 
'Y902',Blood alcohol level of 40-59 mg/100 ml,'XXX000',Unacceptable PDX,'XXX111',Unacceptable DX1,'EXT028',External cause codes: evidence of alcohol involvement,' ', ,' ', ,' ', ,' ', ,' ', 
'Y903',Blood alcohol level of 60-79 mg/100 ml,'XXX000',Unacceptable PDX,'XXX111',Unacceptable DX1,'EXT028',External cause codes: evidence of alcohol involvement,' ', ,' ', ,' ', ,' ', ,' ', 
'Y904',Blood alcohol level of 80-99 mg/100 ml,'XXX000',Unacceptable PDX,'XXX111',Unacceptable DX1,'EXT028',External cause codes: evidence of alcohol involvement,' ', ,' ', ,' ', ,' ', ,' ', 
'Y905',Blood alcohol level of 100-119 mg/100 ml,'XXX000',Unacceptable PDX,'XXX111',Unacceptable DX1,'EXT028',External cause codes: evidence of alcohol involvement,' ', ,' ', ,' ', ,' ', ,' ', 
'Y906',Blood alcohol level of 120-199 mg/100 ml,'XXX000',Unacceptable PDX,'XXX111',Unacceptable DX1,'EXT028',External cause codes: evidence of alcohol involvement,' ', ,' ', ,' ', ,' ', ,' ', 
'Y907',Blood alcohol level of 200-239 mg/100 ml,'XXX000',Unacceptable PDX,'XXX111',Unacceptable DX1,'EXT028',External cause codes: evidence of alcohol involvement,' ', ,' ', ,' ', ,' ', ,' ', 
'Y908',Blood alcohol level of 240 mg/100 ml or more,'XXX000',Unacceptable PDX,'XXX111',Unacceptable DX1,'EXT028',External cause codes: evidence of alcohol involvement,' ', ,' ', ,' ', ,' ', ,' ', 
'Y909',Presence of alcohol in blood   level not specified,'XXX000',Unacceptable PDX,'XXX111',Unacceptable DX1,'EXT028',External cause codes: evidence of alcohol involvement,' ', ,' ', ,' ', ,' ', ,' ', 
'Z0283',Encounter for blood-alcohol and blood-drug test,'FAC001',Encounter for administrative purposes,'FAC001',Encounter for administrative purposes,'FAC001',Encounter for administrative purposes,' ', ,' ', ,' ', ,' ', ,' ', 
'Z6372',Alcoholism and drug addiction in family,'XXX000',Unacceptable PDX,'XXX111',Unacceptable DX1,'FAC019',Socioeconomic/psychosocial factors,' ', ,' ', ,' ', ,' ', ,' ', 
'Z7141',Alcohol abuse counseling and surveillance of alcoholic,'XXX000',Unacceptable PDX,'FAC012',Other specified encounters and counseling,'FAC012',Other specified encounters and counseling,' ', ,' ', ,' ', ,' ', ,' ', 
'Z7142',Counseling for family member of alcoholic,'XXX000',Unacceptable PDX,'FAC012',Other specified encounters and counseling,'FAC012',Other specified encounters and counseling,' ', ,' ', ,' ', ,' ', ,' ', 
'Z811',Family history of alcohol abuse and dependence,'XXX000',Unacceptable PDX,'FAC021',Personal/family history of disease,'FAC021',Personal/family history of disease,' ', ,' ', ,' ', ,' ', ,' ', 
